book_id,booking_time,platform,pay_method,trx_status,gross_rev,comm_fee_pct
BKX-577678,2025-07-01 16:01:00,OTA_Bkg,Pay_at_Hotel,Success,750000,0.15
BKX-769897,2025-07-01 18:01:00,OTA_Trv,E-Wallet,Success,1200000,0.18
BKX-343747,2025-07-01 18:30:00,OTA_Agd,Virtual_Account,Success,750000,0.15
BKX-464860,2025-07-01 18:44:00,OTA_Agd,Virtual_Account,Success,750000,0.18
BKX-165781,2025-07-01 19:12:00,Direct_Web,E-Wallet,Failed,550000,0.0
BKX-474673,2025-07-01 19:43:00,OTA_Agd,Credit_Card,Success,750000,0.15
BKX-781192,2025-07-01 20:47:00,OTA_Trv,Virtual_Account,Success,750000,0.15
BKX-969219,2025-07-01 21:19:00,OTA_Agd,Credit_Card,Success,2500000,0.15
BKX-787843,2025-07-01 21:24:00,OTA_Agd,E-Wallet,Success,550000,0.18
BKX-268482,2025-07-01 21:54:00,OTA_Agd,Credit_Card,Success,1200000,0.18
BKX-276752,2025-07-01 22:07:00,OTA_Trv,E-Wallet,Failed,750000,0.15
BKX-594970,2025-07-01 23:03:00,Direct_Web,Credit_Card,Failed,1200000,0.0
BKX-675985,2025-07-01 23:53:00,OTA_Trv,Credit_Card,Success,750000,0.15
BKX-287522,2025-07-01 23:56:00,Direct_Web,E-Wallet,Success,550000,0.0
BKX-983867,2025-07-02 00:32:00,OTA_Agd,E-Wallet,Success,550000,0.18
BKX-521976,2025-07-02 00:39:00,OTA_Trv,Credit_Card,Success,750000,0.15
BKX-128604,2025-07-02 01:27:00,OTA_Agd,E-Wallet,Success,750000,0.15
BKX-758304,2025-07-02 02:22:00,OTA_Agd,Credit_Card,Success,2500000,0.2
BKX-122743,2025-07-02 03:00:00,Direct_Web,Credit_Card,Failed,750000,0.0
BKX-496562,2025-07-02 06:15:00,OTA_Agd,Credit_Card,Success,750000,0.18
BKX-416256,2025-07-02 06:17:00,OTA_Agd,Virtual_Account,Success,2500000,0.2
BKX-835588,2025-07-02 07:10:00,OTA_Agd,Virtual_Account,Success,2500000,0.2
BKX-274458,2025-07-02 08:00:00,OTA_Agd,E-Wallet,Success,2500000,0.18
BKX-279933,2025-07-02 12:57:00,OTA_Agd,Virtual_Account,Success,550000,0.15
BKX-478808,2025-07-02 14:07:00,Direct_Web,E-Wallet,Success,2500000,0.0
BKX-151425,2025-07-02 15:28:00,OTA_Trv,E-Wallet,Success,1200000,0.18
BKX-876343,2025-07-02 16:27:00,OTA_Bkg,Credit_Card,Success,1200000,0.2
BKX-419115,2025-07-02 16:39:00,OTA_Bkg,E-Wallet,Success,1200000,0.18
BKX-495654,2025-07-02 19:38:00,OTA_Trv,Credit_Card,Success,1200000,0.18
BKX-581465,2025-07-02 20:14:00,OTA_Agd,Virtual_Account,Failed,750000,0.15
BKX-122231,2025-07-02 21:16:00,OTA_Bkg,Credit_Card,Success,750000,0.2
BKX-525859,2025-07-02 21:17:00,OTA_Agd,Virtual_Account,Success,550000,0.2
BKX-374371,2025-07-02 21:29:00,Direct_Web,E-Wallet,Success,550000,0.0
BKX-893629,2025-07-02 21:31:00,Direct_Web,Credit_Card,Failed,1200000,0.0
BKX-871224,2025-07-02 21:47:00,OTA_Trv,Virtual_Account,Success,1200000,0.2
BKX-127182,2025-07-02 23:07:00,OTA_Agd,Virtual_Account,Success,1200000,0.18
BKX-968591,2025-07-02 23:09:00,OTA_Trv,E-Wallet,Success,2500000,0.2
BKX-746868,2025-07-03 00:05:00,OTA_Agd,Credit_Card,Failed,1200000,0.15
BKX-290040,2025-07-03 04:42:00,OTA_Bkg,Virtual_Account,Failed,2500000,0.2
BKX-557480,2025-07-03 04:50:00,OTA_Bkg,E-Wallet,Cancelled,2500000,0.15
BKX-370574,2025-07-03 06:05:00,OTA_Agd,Virtual_Account,Cancelled,550000,0.15
BKX-995118,2025-07-03 06:42:00,OTA_Trv,Virtual_Account,Success,1200000,0.2
BKX-830161,2025-07-03 08:59:00,OTA_Agd,Virtual_Account,Success,2500000,0.15
BKX-110272,2025-07-03 08:59:00,Direct_Web,Virtual_Account,Success,2500000,0.0
BKX-976492,2025-07-03 09:18:00,OTA_Bkg,Virtual_Account,Success,750000,0.15
BKX-809002,2025-07-03 09:50:00,OTA_Agd,Virtual_Account,Success,2500000,0.18
BKX-628622,2025-07-03 10:52:00,Direct_Web,Virtual_Account,Success,750000,0.0
BKX-830158,2025-07-03 11:48:00,OTA_Agd,Credit_Card,Success,2500000,0.2
BKX-276251,2025-07-03 12:02:00,OTA_Agd,E-Wallet,Success,1200000,0.18
BKX-452072,2025-07-03 12:17:00,OTA_Trv,Credit_Card,Cancelled,750000,0.18
BKX-505255,2025-07-03 12:42:00,OTA_Trv,Pay_at_Hotel,Success,550000,0.2
BKX-912525,2025-07-03 14:22:00,OTA_Agd,Credit_Card,Success,2500000,0.15
BKX-632290,2025-07-03 15:29:00,Direct_Web,Virtual_Account,Success,750000,0.0
BKX-117985,2025-07-03 17:11:00,OTA_Trv,Credit_Card,Success,750000,0.2
BKX-380850,2025-07-03 17:36:00,OTA_Agd,Virtual_Account,Success,2500000,0.18
BKX-379037,2025-07-03 18:30:00,OTA_Agd,Virtual_Account,Failed,550000,0.2
BKX-902047,2025-07-03 19:05:00,OTA_Trv,Virtual_Account,Success,750000,0.2
BKX-481595,2025-07-03 19:23:00,Direct_Web,Virtual_Account,Success,1200000,0.0
BKX-764945,2025-07-03 19:46:00,OTA_Agd,Virtual_Account,Success,2500000,0.15
BKX-487736,2025-07-03 19:59:00,OTA_Trv,Virtual_Account,Success,2500000,0.15
BKX-371121,2025-07-03 21:18:00,OTA_Trv,Credit_Card,Success,750000,0.15
BKX-933568,2025-07-03 21:44:00,OTA_Agd,Virtual_Account,Success,2500000,0.15
BKX-631501,2025-07-03 22:25:00,OTA_Agd,Credit_Card,Success,1200000,0.15
BKX-737492,2025-07-03 23:05:00,Direct_Web,Virtual_Account,Success,550000,0.0
BKX-230249,2025-07-04 01:05:00,OTA_Trv,Virtual_Account,Success,2500000,0.18
BKX-957017,2025-07-04 02:33:00,OTA_Bkg,Virtual_Account,Success,550000,0.2
BKX-840158,2025-07-04 02:48:00,OTA_Trv,E-Wallet,Success,2500000,0.2
BKX-218292,2025-07-04 03:16:00,OTA_Agd,E-Wallet,Success,1200000,0.18
BKX-484486,2025-07-04 03:38:00,OTA_Trv,Credit_Card,Failed,750000,0.18
BKX-444165,2025-07-04 05:18:00,OTA_Bkg,Virtual_Account,Success,750000,0.15
BKX-875896,2025-07-04 05:43:00,Direct_Web,E-Wallet,Success,2500000,0.0
BKX-959055,2025-07-04 05:45:00,OTA_Trv,Virtual_Account,Success,550000,0.2
BKX-410719,2025-07-04 05:57:00,OTA_Bkg,Credit_Card,Failed,1200000,0.15
BKX-306958,2025-07-04 06:44:00,OTA_Agd,E-Wallet,Success,550000,0.18
BKX-431694,2025-07-04 07:02:00,OTA_Trv,E-Wallet,Success,550000,0.2
BKX-873358,2025-07-04 07:08:00,OTA_Agd,Credit_Card,Success,750000,0.18
BKX-679466,2025-07-04 07:19:00,Direct_Web,Credit_Card,Failed,750000,0.0
BKX-907932,2025-07-04 07:34:00,OTA_Trv,Virtual_Account,Failed,550000,0.18
BKX-458486,2025-07-04 08:26:00,OTA_Trv,Credit_Card,Success,2500000,0.15
BKX-716285,2025-07-04 10:29:00,OTA_Agd,Virtual_Account,Success,750000,0.15
BKX-126440,2025-07-04 10:31:00,OTA_Bkg,E-Wallet,Success,2500000,0.15
BKX-235105,2025-07-04 12:33:00,OTA_Trv,Virtual_Account,Success,2500000,0.15
BKX-279577,2025-07-04 13:02:00,OTA_Bkg,E-Wallet,Success,2500000,0.2
BKX-758931,2025-07-04 16:34:00,OTA_Agd,E-Wallet,Success,750000,0.15
BKX-573119,2025-07-04 16:56:00,Direct_Web,Credit_Card,Cancelled,750000,0.0
BKX-290563,2025-07-04 17:26:00,OTA_Agd,Credit_Card,Success,550000,0.15
BKX-195830,2025-07-04 18:53:00,OTA_Trv,Credit_Card,Success,1200000,0.2
BKX-674656,2025-07-04 19:09:00,OTA_Agd,Pay_at_Hotel,Success,550000,0.18
BKX-428241,2025-07-04 19:47:00,OTA_Trv,E-Wallet,Success,1200000,0.15
BKX-983671,2025-07-04 20:38:00,OTA_Agd,Virtual_Account,Success,750000,0.18
BKX-133512,2025-07-04 21:10:00,OTA_Agd,Credit_Card,Cancelled,2500000,0.15
BKX-210380,2025-07-04 21:24:00,OTA_Agd,Credit_Card,Success,2500000,0.2
BKX-420100,2025-07-04 22:05:00,OTA_Trv,Credit_Card,Success,750000,0.2
BKX-793308,2025-07-04 22:54:00,Direct_Web,Virtual_Account,Success,550000,0.0
BKX-838142,2025-07-04 23:23:00,OTA_Agd,E-Wallet,Success,550000,0.18
BKX-674342,2025-07-04 23:24:00,OTA_Agd,Virtual_Account,Success,1200000,0.2
BKX-953539,2025-07-05 00:12:00,OTA_Agd,Virtual_Account,Success,750000,0.18
BKX-431061,2025-07-05 00:16:00,OTA_Agd,Virtual_Account,Success,550000,0.2
BKX-577347,2025-07-05 00:29:00,OTA_Bkg,E-Wallet,Cancelled,2500000,0.15
BKX-282957,2025-07-05 00:39:00,Direct_Web,Credit_Card,Failed,750000,0.0
BKX-575689,2025-07-05 02:00:00,OTA_Agd,Virtual_Account,Success,2500000,0.18
BKX-838848,2025-07-05 02:22:00,Direct_Web,Credit_Card,Failed,1200000,0.0
BKX-719661,2025-07-05 04:53:00,OTA_Agd,Credit_Card,Success,1200000,0.2
BKX-255958,2025-07-05 05:02:00,OTA_Trv,Credit_Card,Success,1200000,0.2
BKX-986801,2025-07-05 05:25:00,OTA_Trv,E-Wallet,Success,750000,0.15
BKX-366118,2025-07-05 05:48:00,OTA_Agd,Virtual_Account,Cancelled,750000,0.15
BKX-311648,2025-07-05 06:03:00,Direct_Web,Virtual_Account,Success,750000,0.0
BKX-484033,2025-07-05 09:38:00,OTA_Trv,Credit_Card,Success,550000,0.2
BKX-408623,2025-07-05 11:16:00,OTA_Trv,Virtual_Account,Success,1200000,0.18
BKX-614738,2025-07-05 11:26:00,OTA_Trv,Virtual_Account,Success,750000,0.2
BKX-998118,2025-07-05 15:25:00,Direct_Web,Credit_Card,Failed,550000,0.0
BKX-545661,2025-07-05 15:31:00,Direct_Web,Virtual_Account,Success,2500000,0.0
BKX-403561,2025-07-05 16:09:00,OTA_Bkg,Virtual_Account,Success,750000,0.2
BKX-309691,2025-07-05 16:36:00,OTA_Trv,Virtual_Account,Success,550000,0.18
BKX-590899,2025-07-05 16:47:00,OTA_Trv,Credit_Card,Success,1200000,0.18
BKX-806833,2025-07-05 17:27:00,OTA_Agd,Credit_Card,Success,2500000,0.15
BKX-915329,2025-07-05 18:20:00,OTA_Trv,Virtual_Account,Success,550000,0.18
BKX-886617,2025-07-05 18:33:00,OTA_Trv,Virtual_Account,Success,750000,0.15
BKX-930241,2025-07-05 19:14:00,OTA_Trv,Credit_Card,Success,2500000,0.2
BKX-400931,2025-07-05 19:39:00,OTA_Trv,Credit_Card,Success,2500000,0.2
BKX-492270,2025-07-05 19:51:00,OTA_Trv,Credit_Card,Success,550000,0.18
BKX-181234,2025-07-05 22:01:00,OTA_Trv,Virtual_Account,Success,750000,0.18
BKX-787703,2025-07-05 22:09:00,Direct_Web,Credit_Card,Failed,2500000,0.0
BKX-173513,2025-07-05 22:40:00,OTA_Agd,Credit_Card,Success,1200000,0.15
BKX-896282,2025-07-05 22:55:00,OTA_Bkg,Virtual_Account,Cancelled,1200000,0.2
BKX-441293,2025-07-05 23:31:00,OTA_Agd,Virtual_Account,Success,1200000,0.15
BKX-760012,2025-07-05 23:45:00,Direct_Web,Credit_Card,Failed,750000,0.0
BKX-703672,2025-07-06 00:04:00,OTA_Trv,Virtual_Account,Success,1200000,0.2
BKX-272391,2025-07-06 02:21:00,Direct_Web,Credit_Card,Success,2500000,0.0
BKX-508965,2025-07-06 02:59:00,OTA_Agd,Pay_at_Hotel,Success,550000,0.15
BKX-744052,2025-07-06 05:43:00,OTA_Bkg,Virtual_Account,Success,1200000,0.18
BKX-393172,2025-07-06 06:51:00,OTA_Agd,Virtual_Account,Success,1200000,0.15
BKX-458121,2025-07-06 07:18:00,OTA_Bkg,Virtual_Account,Failed,750000,0.18
BKX-308222,2025-07-06 07:43:00,OTA_Bkg,Credit_Card,Failed,550000,0.15
BKX-861994,2025-07-06 08:05:00,OTA_Trv,Credit_Card,Success,2500000,0.2
BKX-192862,2025-07-06 08:52:00,OTA_Trv,Credit_Card,Success,2500000,0.2
BKX-650288,2025-07-06 10:56:00,OTA_Trv,Virtual_Account,Success,550000,0.15
BKX-606201,2025-07-06 11:17:00,Direct_Web,Virtual_Account,Failed,2500000,0.0
BKX-473345,2025-07-06 11:44:00,OTA_Trv,Virtual_Account,Success,750000,0.2
BKX-511115,2025-07-06 11:46:00,Direct_Web,E-Wallet,Success,550000,0.0
BKX-820614,2025-07-06 12:31:00,OTA_Agd,Credit_Card,Success,1200000,0.2
BKX-523693,2025-07-06 14:14:00,OTA_Bkg,Credit_Card,Cancelled,2500000,0.15
BKX-157172,2025-07-06 16:38:00,OTA_Trv,Virtual_Account,Success,750000,0.15
BKX-206911,2025-07-06 18:12:00,Direct_Web,Credit_Card,Failed,550000,0.0
BKX-801565,2025-07-06 19:25:00,OTA_Bkg,Virtual_Account,Success,550000,0.15
BKX-336192,2025-07-06 21:24:00,OTA_Agd,Credit_Card,Cancelled,1200000,0.18
BKX-437593,2025-07-06 21:49:00,OTA_Bkg,Virtual_Account,Success,1200000,0.15
BKX-808612,2025-07-06 22:50:00,OTA_Agd,Credit_Card,Success,2500000,0.15
BKX-459625,2025-07-06 22:58:00,OTA_Agd,Virtual_Account,Success,750000,0.18
BKX-965451,2025-07-06 23:57:00,OTA_Trv,Pay_at_Hotel,Failed,750000,0.15
BKX-870602,2025-07-07 00:26:00,OTA_Bkg,Pay_at_Hotel,Success,1200000,0.18
BKX-450404,2025-07-07 02:16:00,Direct_Web,E-Wallet,Success,1200000,0.0
BKX-561373,2025-07-07 02:54:00,OTA_Agd,Credit_Card,Success,750000,0.18
BKX-410483,2025-07-07 03:18:00,Direct_Web,Credit_Card,Failed,1200000,0.0
BKX-541588,2025-07-07 03:57:00,OTA_Trv,Credit_Card,Success,2500000,0.15
BKX-251391,2025-07-07 04:42:00,OTA_Trv,Credit_Card,Success,550000,0.2
BKX-294006,2025-07-07 06:37:00,OTA_Trv,Pay_at_Hotel,Cancelled,750000,0.15
BKX-783284,2025-07-07 08:50:00,OTA_Agd,E-Wallet,Success,750000,0.2
BKX-236537,2025-07-07 09:06:00,OTA_Agd,Virtual_Account,Success,550000,0.18
BKX-174314,2025-07-07 09:33:00,OTA_Trv,Virtual_Account,Failed,1200000,0.15
BKX-802661,2025-07-07 10:19:00,OTA_Trv,Pay_at_Hotel,Success,750000,0.2
BKX-329561,2025-07-07 11:48:00,OTA_Agd,Virtual_Account,Success,750000,0.2
BKX-893287,2025-07-07 11:54:00,OTA_Trv,Virtual_Account,Failed,550000,0.18
BKX-127122,2025-07-07 13:12:00,OTA_Trv,Credit_Card,Success,2500000,0.15
BKX-741406,2025-07-07 13:14:00,OTA_Agd,Credit_Card,Success,2500000,0.2
BKX-603148,2025-07-07 14:54:00,OTA_Agd,Credit_Card,Success,750000,0.2
BKX-230293,2025-07-07 15:15:00,OTA_Agd,Credit_Card,Cancelled,2500000,0.18
BKX-369457,2025-07-07 15:25:00,Direct_Web,Credit_Card,Failed,750000,0.0
BKX-834756,2025-07-07 15:49:00,OTA_Agd,Virtual_Account,Success,1200000,0.15
BKX-517669,2025-07-07 18:07:00,OTA_Agd,Credit_Card,Failed,2500000,0.18
BKX-856391,2025-07-07 18:48:00,OTA_Trv,Virtual_Account,Success,2500000,0.2
BKX-608237,2025-07-07 20:08:00,OTA_Agd,Virtual_Account,Success,550000,0.15
BKX-765400,2025-07-07 20:17:00,Direct_Web,Virtual_Account,Success,750000,0.0
BKX-329417,2025-07-07 21:00:00,OTA_Agd,Credit_Card,Success,750000,0.15
BKX-771813,2025-07-07 21:16:00,OTA_Agd,Credit_Card,Success,750000,0.18
BKX-748238,2025-07-07 22:16:00,Direct_Web,E-Wallet,Success,750000,0.0
BKX-605527,2025-07-07 22:43:00,OTA_Agd,Virtual_Account,Success,550000,0.15
BKX-224939,2025-07-08 00:56:00,Direct_Web,Credit_Card,Failed,550000,0.0
BKX-832654,2025-07-08 00:58:00,OTA_Trv,Virtual_Account,Success,750000,0.15
BKX-496010,2025-07-08 03:25:00,OTA_Trv,Virtual_Account,Success,750000,0.15
BKX-598021,2025-07-08 03:39:00,OTA_Agd,Virtual_Account,Success,2500000,0.15
BKX-372659,2025-07-08 03:46:00,OTA_Bkg,Credit_Card,Success,1200000,0.18
BKX-312678,2025-07-08 04:31:00,OTA_Trv,Virtual_Account,Success,2500000,0.15
BKX-369999,2025-07-08 04:59:00,OTA_Bkg,Pay_at_Hotel,Cancelled,1200000,0.15
BKX-400714,2025-07-08 06:35:00,OTA_Agd,Virtual_Account,Success,1200000,0.18
BKX-353007,2025-07-08 07:24:00,OTA_Agd,Credit_Card,Success,2500000,0.2
BKX-587976,2025-07-08 07:48:00,OTA_Agd,E-Wallet,Cancelled,2500000,0.15
BKX-789186,2025-07-08 08:05:00,OTA_Trv,Credit_Card,Cancelled,1200000,0.18
BKX-727722,2025-07-08 08:47:00,OTA_Trv,Virtual_Account,Cancelled,750000,0.2
BKX-472507,2025-07-08 09:37:00,OTA_Trv,E-Wallet,Success,550000,0.15
BKX-436216,2025-07-08 09:57:00,OTA_Trv,Credit_Card,Success,750000,0.2
BKX-413743,2025-07-08 10:11:00,OTA_Trv,Credit_Card,Success,2500000,0.18
BKX-564962,2025-07-08 12:07:00,OTA_Agd,Credit_Card,Success,750000,0.18
BKX-765608,2025-07-08 12:41:00,OTA_Trv,Virtual_Account,Success,2500000,0.18
BKX-404629,2025-07-08 14:02:00,OTA_Trv,Virtual_Account,Success,550000,0.2
BKX-882234,2025-07-08 15:50:00,OTA_Trv,E-Wallet,Success,750000,0.2
BKX-806691,2025-07-08 17:20:00,OTA_Trv,Virtual_Account,Success,1200000,0.2
BKX-552420,2025-07-08 17:27:00,OTA_Trv,Virtual_Account,Success,2500000,0.2
BKX-213846,2025-07-08 20:33:00,OTA_Bkg,Pay_at_Hotel,Success,750000,0.2
BKX-766451,2025-07-08 20:59:00,OTA_Agd,E-Wallet,Success,550000,0.15
BKX-601670,2025-07-08 21:01:00,OTA_Agd,Virtual_Account,Success,2500000,0.18
BKX-164636,2025-07-08 21:05:00,OTA_Bkg,E-Wallet,Success,2500000,0.18
BKX-818166,2025-07-08 22:57:00,OTA_Agd,E-Wallet,Failed,2500000,0.15
BKX-800726,2025-07-08 23:10:00,OTA_Trv,Credit_Card,Success,2500000,0.2
BKX-156690,2025-07-08 23:14:00,OTA_Trv,Virtual_Account,Success,550000,0.18
BKX-914155,2025-07-09 01:43:00,OTA_Agd,E-Wallet,Success,550000,0.15
BKX-951638,2025-07-09 01:52:00,OTA_Trv,Virtual_Account,Success,750000,0.18
BKX-756335,2025-07-09 02:19:00,OTA_Agd,Credit_Card,Success,1200000,0.15
BKX-521541,2025-07-09 02:20:00,OTA_Trv,E-Wallet,Success,1200000,0.15
BKX-315045,2025-07-09 02:20:00,OTA_Trv,Virtual_Account,Cancelled,2500000,0.2
BKX-638002,2025-07-09 02:59:00,OTA_Trv,E-Wallet,Success,2500000,0.15
BKX-410745,2025-07-09 03:16:00,OTA_Bkg,Credit_Card,Success,1200000,0.2
BKX-536211,2025-07-09 03:18:00,OTA_Trv,Credit_Card,Success,1200000,0.18
BKX-422775,2025-07-09 04:09:00,Direct_Web,Virtual_Account,Success,1200000,0.0
BKX-631292,2025-07-09 05:28:00,OTA_Agd,Virtual_Account,Success,1200000,0.18
BKX-620848,2025-07-09 07:19:00,OTA_Trv,E-Wallet,Success,750000,0.15
BKX-138795,2025-07-09 08:00:00,OTA_Agd,E-Wallet,Success,1200000,0.15
BKX-826610,2025-07-09 08:34:00,OTA_Agd,Credit_Card,Success,1200000,0.15
BKX-736288,2025-07-09 08:37:00,OTA_Bkg,Credit_Card,Cancelled,2500000,0.15
BKX-619328,2025-07-09 09:51:00,OTA_Bkg,Virtual_Account,Success,550000,0.2
BKX-694828,2025-07-09 11:52:00,OTA_Bkg,E-Wallet,Success,1200000,0.2
BKX-629885,2025-07-09 13:12:00,Direct_Web,Credit_Card,Failed,2500000,0.0
BKX-734153,2025-07-09 14:09:00,Direct_Web,E-Wallet,Success,550000,0.0
BKX-425397,2025-07-09 14:11:00,OTA_Trv,Virtual_Account,Success,1200000,0.15
BKX-741137,2025-07-09 14:14:00,OTA_Agd,Virtual_Account,Success,750000,0.18
BKX-968763,2025-07-09 14:14:00,Direct_Web,E-Wallet,Success,550000,0.0
BKX-223731,2025-07-09 14:32:00,OTA_Trv,Virtual_Account,Success,750000,0.2
BKX-469531,2025-07-09 20:01:00,Direct_Web,Credit_Card,Failed,550000,0.0
BKX-452780,2025-07-09 20:10:00,OTA_Agd,Virtual_Account,Success,2500000,0.15
BKX-369189,2025-07-09 21:12:00,OTA_Agd,Pay_at_Hotel,Success,2500000,0.18
BKX-488370,2025-07-09 21:55:00,OTA_Bkg,E-Wallet,Success,750000,0.18
BKX-597516,2025-07-10 01:01:00,OTA_Bkg,Virtual_Account,Success,2500000,0.2
BKX-124718,2025-07-10 01:10:00,OTA_Bkg,E-Wallet,Success,1200000,0.2
BKX-928267,2025-07-10 04:58:00,OTA_Trv,Virtual_Account,Success,550000,0.15
BKX-882778,2025-07-10 06:19:00,OTA_Agd,Virtual_Account,Cancelled,1200000,0.15
BKX-274060,2025-07-10 07:45:00,OTA_Agd,E-Wallet,Success,550000,0.2
BKX-298296,2025-07-10 11:29:00,OTA_Bkg,Pay_at_Hotel,Cancelled,550000,0.2
BKX-400670,2025-07-10 14:16:00,OTA_Trv,Virtual_Account,Failed,550000,0.18
BKX-155569,2025-07-10 14:22:00,OTA_Agd,E-Wallet,Success,550000,0.15
BKX-225312,2025-07-10 15:06:00,OTA_Bkg,Credit_Card,Success,2500000,0.15
BKX-431628,2025-07-10 15:15:00,OTA_Agd,Virtual_Account,Failed,550000,0.2
BKX-681690,2025-07-10 17:57:00,Direct_Web,Virtual_Account,Success,550000,0.0
BKX-319778,2025-07-10 18:02:00,OTA_Bkg,Virtual_Account,Success,1200000,0.2
BKX-998524,2025-07-10 18:24:00,Direct_Web,Credit_Card,Failed,550000,0.0
BKX-602578,2025-07-10 19:48:00,Direct_Web,Credit_Card,Cancelled,750000,0.0
BKX-559501,2025-07-10 20:35:00,OTA_Trv,Virtual_Account,Success,2500000,0.18
BKX-437247,2025-07-10 21:56:00,OTA_Bkg,Virtual_Account,Success,750000,0.2
BKX-524567,2025-07-11 01:46:00,Direct_Web,E-Wallet,Failed,2500000,0.0
BKX-332700,2025-07-11 01:49:00,OTA_Trv,Virtual_Account,Success,2500000,0.2
BKX-326073,2025-07-11 03:12:00,OTA_Trv,E-Wallet,Success,550000,0.18
BKX-255346,2025-07-11 03:50:00,OTA_Bkg,E-Wallet,Success,2500000,0.15
BKX-781153,2025-07-11 05:33:00,OTA_Trv,Credit_Card,Success,550000,0.15
BKX-400796,2025-07-11 06:03:00,OTA_Bkg,Virtual_Account,Success,1200000,0.18
BKX-739763,2025-07-11 08:55:00,OTA_Agd,Credit_Card,Cancelled,550000,0.18
BKX-441910,2025-07-11 09:08:00,OTA_Agd,Pay_at_Hotel,Success,550000,0.18
BKX-872874,2025-07-11 09:26:00,OTA_Agd,Virtual_Account,Success,1200000,0.18
BKX-227240,2025-07-11 09:39:00,OTA_Agd,Virtual_Account,Success,750000,0.18
BKX-735754,2025-07-11 10:16:00,OTA_Bkg,Virtual_Account,Success,750000,0.18
BKX-163305,2025-07-11 11:05:00,OTA_Agd,E-Wallet,Success,750000,0.18
BKX-867111,2025-07-11 11:11:00,OTA_Trv,E-Wallet,Failed,2500000,0.15
BKX-712050,2025-07-11 12:03:00,OTA_Trv,Pay_at_Hotel,Success,750000,0.15
BKX-966308,2025-07-11 12:16:00,Direct_Web,Virtual_Account,Success,550000,0.0
BKX-563871,2025-07-11 12:33:00,OTA_Trv,Pay_at_Hotel,Success,750000,0.2
BKX-260749,2025-07-11 12:58:00,OTA_Agd,Credit_Card,Success,1200000,0.15
BKX-103841,2025-07-11 13:07:00,OTA_Bkg,Credit_Card,Success,550000,0.15
BKX-430168,2025-07-11 13:33:00,OTA_Agd,Credit_Card,Success,550000,0.2
BKX-664685,2025-07-11 13:49:00,OTA_Trv,Pay_at_Hotel,Cancelled,750000,0.18
BKX-312243,2025-07-11 13:54:00,OTA_Trv,Credit_Card,Success,2500000,0.2
BKX-544022,2025-07-11 14:15:00,OTA_Agd,Virtual_Account,Success,1200000,0.18
BKX-406844,2025-07-11 14:26:00,Direct_Web,E-Wallet,Success,2500000,0.0
BKX-524642,2025-07-11 17:22:00,OTA_Agd,E-Wallet,Success,750000,0.15
BKX-130568,2025-07-11 19:14:00,OTA_Trv,E-Wallet,Success,1200000,0.18
BKX-602704,2025-07-11 20:25:00,OTA_Agd,Virtual_Account,Success,2500000,0.2
BKX-942757,2025-07-11 21:40:00,OTA_Trv,Virtual_Account,Success,2500000,0.2
BKX-624712,2025-07-11 21:44:00,OTA_Trv,Virtual_Account,Success,750000,0.2
BKX-334466,2025-07-11 23:11:00,OTA_Agd,Credit_Card,Success,2500000,0.2
BKX-624845,2025-07-11 23:48:00,OTA_Trv,Virtual_Account,Cancelled,1200000,0.15
BKX-325449,2025-07-11 23:50:00,OTA_Agd,Credit_Card,Cancelled,1200000,0.15
